Scheme Name,Scheme Category,company_name,sector_name,corpus_per,NAV,Units
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,ITC Ltd.,Consumer Staples,0.55366619,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Eicher Motors Ltd.,Automobile,0.51028196,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Hero Motocorp Ltd.,Automobile,0.49850433,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,FSN E-Commerce Ventures Ltd.,Services,0.48706472,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Page Industries Ltd.,Textiles,0.48645288,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Nuvoco Vistas Corporation Ltd.,Construction,0.41736182,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Gland Pharma Ltd.,Healthcare,0.40870024,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,0.36482036,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Orient Electric Ltd.,Consumer Discretionary,0.35992974,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Carborundum Universal Ltd.,Metals & Mining,0.33390684,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Tata Communications Ltd.,Communication,0.32670213,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Asian Paints Ltd.,Chemicals,0.29758349,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,RateGain Travel Technologies Ltd.,Technology,0.29125144,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Sumitomo Chemical India Ltd.,Chemicals,0.29105806,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Suprajit Engineering Ltd.,Automobile,0.29088255,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,ICICI Prudential Life Insurance Company Ltd.,Insurance,0.28982545,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Sundram Fasteners Ltd.,Capital Goods,0.28269387,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Godrej Agrovet Ltd.,Consumer Staples,0.26806508,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Atul Ltd.,Chemicals,0.24498922,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.24207061,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Timken India Ltd.,Capital Goods,0.23474809,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Divgi TorqTransfer Systems Ltd.,Automobile,0.23296134,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Siemens Ltd.,Capital Goods,0.23294834,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.20120522,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Balkrishna Industries Ltd.,Automobile,0.19403464,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.17683419,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Affle (India) Ltd.,Technology,0.16928254,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.16853582,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.16030083,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,PI Industries Ltd.,Chemicals,0.15712546,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Mphasis Ltd.,Technology,0.15156775,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Indiamart Intermesh Ltd.,Services,0.14881246,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Schaeffler India Ltd.,Capital Goods,0.11983439,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Aditya Birla Sun Life AMC Ltd.,Financial,0.11610731,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.10489683,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Rallis India Ltd.,Chemicals,0.10057986,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.08100194,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.08089956,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,V.S.T. Tillers Tractors Ltd.,Automobile,0.07577575,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Reserve Bank of India,Financial,0.04007561,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Grasim Industries - (Partly Paid Equity),Construction,0.02248271,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Chemplast Sanmar Ltd.,Chemicals,0.01780903,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Voltas Ltd.,Consumer Discretionary,0.01173049,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Ipca Laboratories Ltd.,Healthcare,-0.05967953,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Lupin Ltd.,Healthcare,-0.35432166,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,The Federal Bank Ltd.,Financial,-0.65589793,927.32,220.345
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity - Large & MidCap,Hindustan Petroleum Corporation Ltd.,Energy,-0.73413321,927.32,220.345
Quant Commodities Fund Direct   Growth,Equity - Thematic,Reliance Industries Ltd.,Energy,9.98123283,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Tata Steel Ltd.,Metals & Mining,8.87062737,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Steel Authority Of India Ltd.,Metals & Mining,8.32621845,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Swan Energy Ltd.,Construction,6.4431387,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,National Aluminium Company Ltd.,Metals & Mining,6.3893744,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Gujarat Gas Ltd.,Energy,5.4796501,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Coal India Ltd.,Energy,5.36938293,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Kalyani Steels Ltd.,Metals & Mining,5.33080151,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Hindalco Industries Ltd.,Metals & Mining,5.09923239,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Jindal Stainless Ltd.,Metals & Mining,5.0341514,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Balrampur Chini Mills Ltd.,Consumer Staples,4.31471651,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Graphite India Ltd.,Capital Goods,4.25366281,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Reserve Bank of India,Financial,4.02289916,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,HEG Ltd.,Construction,3.34192488,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Adani Power Ltd.,Energy,3.22465022,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Ashapura Minechem Ltd.,Metals & Mining,3.213253,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Bharat Electronics Ltd.,Capital Goods,2.7753256,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Usha Martin Ltd.,Metals & Mining,2.56336939,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Tata Power Company Ltd.,Energy,2.38133593,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Sandur Manganese & Iron Ores Ltd.,Metals & Mining,1.38949521,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,MMTC Ltd.,Services,1.07045339,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Tata Steel Ltd.,Metals & Mining,0.62765297,12.12,28.783
Quant Commodities Fund Direct   Growth,Equity - Thematic,Tata Chemicals Ltd.,Chemicals,0.47884465,12.12,28.783
